external_source,external_id,category_code,product_name,brand,description,price,currency,stock_status,image_preview,thumbnail_url,local_image_path,source_url,use_product,mood_code
IKEA,003.580.18,LIGHTING,TOKABO 토카보 탁상스탠드 - 유리 오팔 화이트,IKEA,TOKABO 토카보 탁상스탠드 - 유리 오팔 화이트. 아담한 크기로 어디에든 놓고 포근함과 무드를 더할 수 있습니다. 전구는 별도 구매입니다. 최대 소비 전력 4.4W 이하 E14 구형 전구 제품을 사용하세요. LUNNOM 룬놈 LED전구 E14 100루멘 제품을 추천합니다. *샹들리에 또는 오팔 전구는 맞지 않으니 주의하시기 바랍니다.,14900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/tokabo-table-lamp-glass-opal-white__0714489_pe730101_s5.jpg,output_lighting\images\003.580.18.jpg,https://www.ikea.com/kr/ko/p/tokabo-table-lamp-glass-opal-white-00358018/,검토,
IKEA,502.839.16,LIGHTING,FORSÅ 포르소 독서등 - 니켈 도금,IKEA,FORSÅ 포르소 독서등 - 니켈 도금. 독서등으로 사용해보세요. 조명의 각도를 자유롭게 조절하여 원하는 곳에 빛을 비출 수 있습니다. 전구는 별도 판매입니다. LED전구 E14 샹들리에 오팔 화이트 사용을 권장합니다.,29900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/forsa-work-lamp-nickel-plated__0121576_pe278160_s5.jpg,output_lighting\images\502.839.16.jpg,https://www.ikea.com/kr/ko/p/forsa-work-lamp-nickel-plated-50283916/,검토,
IKEA,704.444.28,LIGHTING,FORSÅ 포르소 독서등 - 화이트,IKEA,FORSÅ 포르소 독서등 - 화이트. 독서등으로 사용해보세요. 조명의 각도를 자유롭게 조절하여 원하는 곳에 빛을 비출 수 있습니다. 전구는 별도 판매입니다. LED전구 E14 샹들리에 오팔 화이트 사용을 권장합니다. 특별한 쓰레기 처리가 필요할 수 있습니다. 자세한 내용은 지역 당국에 문의하세요.,29900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/forsa-work-lamp-white__0687071_pe721952_s5.jpg,output_lighting\images\704.444.28.jpg,https://www.ikea.com/kr/ko/p/forsa-work-lamp-white-70444428/,검토,
IKEA,804.035.21,LIGHTING,FORSÅ 포르소 독서등 - 황동색,IKEA,FORSÅ 포르소 독서등 - 황동색. 독서등으로 사용해보세요. 조명의 각도를 자유롭게 조절하여 원하는 곳에 빛을 비출 수 있습니다. 전구는 별도 판매입니다. LED전구 E14 샹들리에 오팔 화이트 사용을 권장합니다. 특별한 쓰레기 처리가 필요할 수 있습니다. 자세한 내용은 지역 당국에 문의하세요.,29900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/forsa-work-lamp-brass-colour__0546399_pe656150_s5.jpg,output_lighting\images\804.035.21.jpg,https://www.ikea.com/kr/ko/p/forsa-work-lamp-brass-colour-80403521/,검토,
IKEA,002.839.09,LIGHTING,FORSÅ 포르소 독서등 - 블랙,IKEA,FORSÅ 포르소 독서등 - 블랙. 독서등으로 사용해보세요. 조명의 각도를 자유롭게 조절하여 원하는 곳에 빛을 비출 수 있습니다. 전구는 별도 판매입니다. LED전구 E14 샹들리에 오팔 화이트 사용을 권장합니다.,29900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/forsa-work-lamp-black__0609293_pe684430_s5.jpg,output_lighting\images\002.839.09.jpg,https://www.ikea.com/kr/ko/p/forsa-work-lamp-black-00283909/,검토,
IKEA,004.863.94,LIGHTING,TÅGARP 토가르프 상향식플로어스탠드/독서등 - 블랙/화이트,IKEA,TÅGARP 토가르프 상향식플로어스탠드/독서등 - 블랙/화이트. 풍부한 불빛이 넓게 퍼지며 방 전체를 밝혀줍니다. 전체등과 독서등으로 사용할 수 있는 스탠드로 따로 켜고 끌 수 있습니다. 전구는 별도 판매입니다. LED전구 E26 구형 오팔 화이트(1개)와 LED전구 E14 구형 오팔 화이트(1개) 사용을 권장합니다.,24900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/tagarp-floor-uplighter-reading-lamp-black-white__0965083_pe809330_s5.jpg,output_lighting\images\004.863.94.jpg,https://www.ikea.com/kr/ko/p/tagarp-floor-uplighter-reading-lamp-black-white-00486394/,검토,
IKEA,803.213.23,LIGHTING,ÅRSTID 오르스티드 플로어스탠드 - 황동/화이트,IKEA,"ÅRSTID 오르스티드 플로어스탠드 - 황동/화이트. 텍스타일 전등갓으로 은은하고 아름다운 조명효과를 느낄 수 있습니다. 조명은 별도구매입니다. LED전구 E26 구형 오팔 화이트 사용을 권장합니다. 일반 조명/전등갓을 사용할 경우, 그리고 고르게 발산되는 확산된 빛을 원할 경우 불투명 전구를 사용하세요. 풀 스위치 포함. 같은 시리즈의 다른 조명과도 함께 사용해보세요.",49900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/arstid-floor-lamp-brass-white__0390610_pe566328_s5.jpg,output_lighting\images\803.213.23.jpg,https://www.ikea.com/kr/ko/p/arstid-floor-lamp-brass-white-80321323/,검토,
IKEA,102.840.36,LIGHTING,ÅRSTID 오르스티드 플로어스탠드 - 니켈 도금/화이트,IKEA,"ÅRSTID 오르스티드 플로어스탠드 - 니켈 도금/화이트. 텍스타일 전등갓으로 은은하고 아름다운 조명효과를 느낄 수 있습니다. 조명은 별도구매입니다. LED전구 E26 구형 오팔 화이트 사용을 권장합니다. 일반 조명/전등갓을 사용할 경우, 그리고 고르게 발산되는 확산된 빛을 원할 경우 불투명 전구를 사용하세요. 풀 스위치 포함. 같은 시리즈의 다른 조명과도 함께 사용해보세요.",49900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/arstid-floor-lamp-nickel-plated-white__0684004_pe720967_s5.jpg,output_lighting\images\102.840.36.jpg,https://www.ikea.com/kr/ko/p/arstid-floor-lamp-nickel-plated-white-10284036/,검토,
IKEA,803.075.91,LIGHTING,MOLGAN 몰간 LED조명 - 화이트/배터리식,IKEA,"MOLGAN 몰간 LED조명 - 화이트/배터리식. 너무 밝지도 어둡지도 않은 조명 덕분에 어둠 속에서도 방향을 찾을 수 있어요. 조명이 모션 센서에 따라 자동으로 켜지고 10초 후에 꺼집니다. 건전기 별도 판매. AAA 3개. LADDA 라다 충전지 사용을 권장합니다. 내장 LED 조명. 전구의 수명은 약 25,000시간입니다. 스탠드를 매일 3시간씩 켜는 경우 약 20년에 해당됩니다. 야간 센서가 있어 어두워졌을 때만 켜집니다. 벽 설치에 필요한 나사는 별도 판매입니다. 만 3세 이상 사용 가능",7900,KRW,https://schema.org/InStock,,https://www.ikea.com/kr/ko/images/products/molgan-led-lighting-white-battery-operated__0609826_pe684648_s5.jpg,output_lighting\images\803.075.91.jpg,https://www.ikea.com/kr/ko/p/molgan-led-lighting-white-battery-operated-80307591/,검토,
IKEA,706.097.06,LIGHTING,KABBLEKA 카블레카 LED라인조명+USB - 밝기조절 3 m,IKEA,KABBLEKA 카블레카 LED라인조명+USB - 밝기조절 3 m. LED 라인조명의 빛은 어디서든 포근한 분위기를 만들어 줍니다. 검은색 선 중 하나를 잘라서 라인조명을 더 짧게 만들 수 있어요. LED라인조명은 구부릴 수 있어서 TV나 책장 뒤에 쉽게 고정할 수 있습니다. 쉽게 부착할 수 있어요. 접착식 테이프의 종이를 벗기고 라인조명을 원하는 곳에 붙이면 됩니다. 케이블에 있는 버튼을 누르면 조명을 켜고 끌 수 있습니다. 밝기 조절 기능을 사용해 밝기를 조절할 수 있습니다. 실내에서만 사용하세요. 내장 LED 조명.,0,KRW,,,https://www.ikea.com/kr/ko/images/products/kabbleka-led-lighting-strip-with-usb-dimmable__1456863_pe992520_s5.jpg,output_lighting\images\706.097.06.jpg,https://www.ikea.com/kr/ko/p/kabbleka-led-lighting-strip-with-usb-dimmable-70609706/,검토,
