scene_code,product_code,product_type,x,y,confidence,status
SPBA02,MC-BC-034,outdoor furniture,16.3,44.7,1.00,manual
SPBA02,MC-LT-013,side table,53.4,53.4,1.00,manual
SPBA02,MC-LT-007,lamp,63.2,20.5,1.00,manual
SPBA02,MC-DF-002,,55.2,37.7,1.00,manual
SPBA03,MC-BC-039,outdoor furniture,41.5,53.0,1.00,manual
SPBA03,MC-LT-038,coffee table,47.5,53.9,0.46,review
SPBA03,MC-LT-026,lamp,47.7,29.3,0.16,review
SPBA03,MC-DF-009,scented candle,41.3,34.7,0.14,review
SPBA04,MC-BC-043,outdoor furniture,34.1,52.8,1.00,manual
SPBA04,MC-LT-061,coffee table,41.7,77.2,1.00,manual
SPBA04,MC-LT-021,table lamp,51.9,45.7,1.00,manual
SPBA04,MC-DF-004,,52.1,65.6,1.00,manual
SUBA01,MC-BC-010,,59.0,53.4,1.00,manual
SUBA01,MC-LT-008,side table,30.1,54.8,1.00,manual
SUBA01,MC-LT-006,lamp,44.8,14.7,1.00,manual
SUBA01,MC-DF-001,,57.1,20.7,1.00,manual
SUBA02,MC-BC-047,patio furniture,59.4,55.2,1.00,manual
SUBA02,MC-LT-009,small table,25.7,65.2,1.00,manual
SUBA02,MC-LT-014,lamp,69.1,15.3,1.00,manual
SUBA02,MC-DF-023,glass candle,56.3,38.5,1.00,manual
SUBA03,MC-BC-040,,47.0,38.3,1.00,manual
SUBA03,MC-LT-005,side table,26.5,65.6,1.00,manual
SUBA03,MC-LT-041,lamp,74.5,13.7,1.00,manual
SUBA03,MC-DF-017,,64.6,88.1,1.00,manual
SUBA04,MC-BC-041,,52.7,50.1,1.00,manual
SUBA04,MC-LT-015,small table,30.8,67.0,1.00,manual
SUBA04,MC-LT-024,,,,0,failed
SUBA04,MC-DF-012,candle jar,70.3,84.9,0.43,review
FABA01,MC-BC-007,,62.4,64.0,1.00,manual
FABA01,MC-LT-002,side table,23.6,69.2,1.00,manual
FABA01,MC-LT-009,lamp,18.0,48.0,0.43,review
FABA01,MC-DF-020,scented candle,74.7,88.4,0.83,auto
FABA02,MC-BC-030,,48.7,57.3,1.00,manual
FABA02,MC-LT-019,side table,78.3,69.7,1.00,manual
FABA02,MC-LT-017,lamp,66.5,24.2,0.52,auto
FABA02,MC-DF-015,candle jar,71.7,61.1,0.49,review
FABA03,MC-BC-031,outdoor furniture,64.7,63.3,1.00,manual
FABA03,MC-LT-035,table,57.7,37.8,1.00,manual
FABA03,MC-LT-003,,45.8,39.2,1.00,manual
FABA03,MC-DF-011,candle jar,52.7,36.0,0.28,review
FABA04,MC-BC-057,patio furniture,40.9,54.3,1.00,manual
FABA04,MC-LT-037,coffee table,95.7,84.2,1.00,manual
FABA04,MC-LT-012,lamp,33.4,27.2,1.00,manual
FABA04,MC-DF-007,scented candle,86.4,78.7,0.31,review
WIBA01,MC-BC-020,,68.0,45.9,1.00,manual
WIBA01,MC-LT-011,side table,35.3,74.1,0.9,auto
WIBA01,MC-LT-004,lamp,23.1,46.5,0.68,auto
WIBA01,MC-DF-017,,38.2,56.5,1.00,manual
WIBA02,MC-BC-029,outdoor furniture,64.4,51.7,1.00,manual
WIBA02,MC-LT-014,side table,25.1,59.8,1.00,manual
WIBA02,MC-LT-015,lamp,9.4,25.6,1.00,manual
WIBA02,MC-DF-001,lavender sachet,25.8,46.8,0.19,review
WIBA03,MC-BC-042,,48.5,64.6,1.00,manual
WIBA03,MC-LT-024,side table,85.6,59.4,1.00,manual
WIBA03,MC-LT-010,lamp,81.8,30.0,0.9,auto
WIBA03,MC-DF-007,,33.4,42.8,1.00,manual
WIBA04,MC-BC-050,,64.1,70.0,1.00,manual
WIBA04,MC-LT-022,side table,22.7,73.1,1.00,manual
WIBA04,MC-LT-020,lamp,34.6,40.1,1.00,manual
WIBA04,MC-DF-013,scented candle,25.6,59.6,0.6,auto
